Signatur;EXEMPLARNR;Kurztitel;GTV;ISBN
P 1116 - 1;1590483001;Przemiany osadnicze spolecznosci kultury luzyckiej na Slasku 1. Textband. - 193 S.;;
P 1116 - 2;1590484001;Przemiany osadnicze spolecznosci kultury luzyckiej na Slasku 2. Beilagen. - 12 lose Beil. im Schuber;;
P 1116b;1590486001;"Janson, Sverker ; Hvarfner, Harald: Ancient hunters and settlements in the mountains of Sweden... / By Sverker Janson and Harald Hvarfner. Transl. by Richard Cox";;
P 1116d;1590488001;"Jansova, Libuse: Hrazany : keltské oppidum na Sedlcansku / Libuse Jansova (Památníky nasí minulosti ; 3)";"Památníky nasí minulosti ; 3";
P 1117;402409001;"Wirtz, Rut: Römische Fibeln und Beschläge aus Jülich / Von Rut Wirtz (Forum Jü... ; 7)(Materialien... ;  1)";;3-9802601-7-8
P 1117y;1590492001;"Janssen, Walter ; Knörzer, Karl-Heinz: Die frühmittelalterliche Niederungsburg bei Haus Meer, Stadt Meerbusch, Kreis Grevenbroich / von Walter Janssen und Karl-Heinz... (Schriftenreihe des Kreises G... ; 8)";"Schriftenreihe des Kreises Grevenbroich ; 8";
P 1118 - 1;1590495001;Jansen, Walter. Königshagen.1. Textband. - VIII, 246 S. : Ill.;;
P 1118 - 2;1590496001;Jansen, Walter. Königshagen. 2. Tafeln I-XX. - 20 Taf. ;;
P 1118b;214284002;"Janssen, Walter: Methodische Probleme archäologischer Wüstungsforschung / Walter Janssen (Nachrichten der Akademie der... ; ...)";"Nachrichten der Akademie der Wissenschaften in Göttingen, Philologisch-Historische Klasse ; 1968,2";
P 1119;1590502001;"Jansson, Ingmar: Ovala spännbucklor : en studie av vikingatida standardsmycken med utgångspunkt från Björkö-fynden / av Ingmar Jansson (Archaeological studies ; 7)";"Archaeological studies ; 7";91-506-0481-3
P 1119k;1590503001;"Jantzen, Ulf: Bronzewerkstätten in Grossgriechenland und Sizilien / von Ulf Jantzen (Jahrbuch des Deutschen Archä... ; 13)";"Jahrbuch des Deutschen Archäologischen Instituts : Ergänzungsheft ; 13";
P 1120;1590504001;"Janzon, Gunborg O.: Gotlands mellaneolitiska gravar = The Middle-Neolothic graves of Gotland / Gunborg O. Janzon (Studies in North-European ar... ; 6)";"Studies in North-European archaeology ; 6";
P 1121;1590506001;"Jarvis, Keith S.: Excavations in Christchurch 1969-1980 / Keith S. Jarvis (Dorset Natural History and A... ; 5)";"Dorset Natural History and Archaeological Society Monograph Series ; 5";
P 1122;1590512001;"Jastrzebowska, Elisabeth: Untersuchungen zum... / Elisabeth Jastrzebowska (Europäische Hochschulschrift... ; 2)";"Europäische Hochschulschriften : Reihe 38, Archäologie ; 2";3-8204-6752-1
P 1123;1590521001;Jazdzewski, Konrad: Die Trichterbecherkultur in West- und Mittelpolen  = Kultura puharów lejkowatych w Polske Zachodniej i Srodkowej  / Konrad Jazdzewski;;
P 1123b;406827001;Jazdzewski, Konrad: Urgeschichte Mitteleuropas / Konrad Jazdzewski - Gek. dt....;;83-04-01119-0
P 1124;1590535001;Olczak, Jerzy: Zródla archeologiczne do studiów nad zasiedlaniem Pomorza srodkowego w póznym sredniowieczu : (od okolo XIII-XV wieku) / Jerzy Olczak - Wyd. 1;;83-231-0541-3
P 1125;1590546001;Badania archeologiczne ósrodka torunskiego w latach 1989 - 1992 / Pod red. Jadwiga Chudziakowa;;
P 1126;1590552001;"Heege, Andreas: Einbeck im Jahre 1728 : der Stadtplan des Ernest Eberhard Braun / von Andreas Heege (Quellen und Materialien zur ... ; 3)";"Quellen und Materialien zur Geschichte der Stadt Einbeck ; 3";3-89442-213-0
P 1127;1590557001;"Grabowski, Mieczyslaw  ; Mührenberg, Doris: In Lübeck fließt Wasser in Röhren ... seit 700 Jahren! : eine kulturgeschichtliche Studie ; [erschienen anläßlich der Ausstellung ""In Lübeck fließt Wasser ...seit...";;
P 1127o;1590589001;"Jennbert, Kristina: Den produktiva gåvan : tradition och innovation i Sydskandinavien för omkring 5300 år sedan / Kristina Jennbert (Acta Archaeologica Lundensia... ; 16)";"Acta Archaeologica Lundensia : Series in 4° ; 16";
P 1128;1590592001;"Ruprechtsberger, Erwin M. ; Dimt, Heidelinde: Ausgrabungen im antiken Lentia: Die Funde aus Linz  : Tiefer Graben, Flügelhofgasse, mit Beitr. von H. Dimt u.a. (Linzer archäologische Forsch... ; 20)";"Linzer archäologische Forschungen ; 20";
P 1129 - 14;1670145001;Vendsyssel. Nu& Da  014.1991-1993(1994);;
P 1129 - 15;1670146001;Vendsyssel. Nu& Da 015.1994/1995;;
P 1129 - 16;1670147001;Vendsyssel. Nu& Da 16.1996;;
P 1129 - 17;1670148001;Vendsyssel. Nu& Da 17.1997;;
P 1129 - 18;1670149001;Vendsyssel. Nu& Da 018.1998/1999;;
P 1129 - 19;1670150001;Vendsyssel. Nu& Da 19.2000;;
P 1129 - 20;1670151001;Vendsyssel. Nu& Da 20.2001;;
P 1129 - 21;1670152001;Vendsyssel. Nu& Da 21.2002;;
P 1129 - 22;1540531001;Vendsyssel. Nu& Da 22.2003;;
P 1129 - 24;1540568001;Vendsyssel. Nu& Da 23.2004;;
P 1129 - 25;1540570001;Vendsyssel. Nu& Da 025.2006-2007;;
P 1129 - 26;1553031001;Vendsyssel. Nu& Da 026.2008-2009;;
P 1130;1590673001;Moorarchäologie in Nordwest-Europa : Gedenkschrift für Dr. h.c. Hajo Hayen / Red.: Mamoun Fansa;;
P 1131;1590940001;Jenny, Wilhelm Albert  von: Die Kunst der Germanen im frühen Mittelalter / Wilhelm Albert von Jenny (Vor- und frühgeschichtliche Kunst);Vor- und frühgeschichtliche Kunst;
P 1132;1590941001;Fless, Friederike: Opferdiener und Kultmusiker auf stadtrömischen historischen Reliefs : Untersuchungen zur Ikonographie, Funktion und Benennung / von Friederike Fless;;3-8053-1601-1
P 1133;1590944001;"Eschenweck, Thomas: Beile und Äxte aus Felsgestein : neolithische Steingeräte aus den Städtischen Museen Heilbronn / Thomas Eschenweck (Museo ; 3)";"Museo ; 3";
P 1134;1590945001;"Jensen, Hans Arne: Seeds and other diaspores in soil samples from Danish town and monastery excavations, dated 700 - 1536 AD / by Hans Arne Jensen (Biologiske skrifter ; 26)";"Biologiske skrifter ; 26";87-7304-159-9
P 1135;1590946001;"Jensen, Ad. E. : Hainuwele : Volkserzählungen von der Molukken-Insel Ceram / Ad. E. Jensen ; ges. und bearb. von Ad. E. Jensen und H. Niggemeyer... (Ergebnisse der Frobenius-Exp... ; 1)";"Ergebnisse der Frobenius-Expedition 1937-38 in die Molukken und nach Holländisch Neu-Guinea ; 1";
P 1135c;1590948001;"Jensen, Jørgen: The prehistory of Denmark / Joergen Jensen (University paperbacks ; 787)";"University paperbacks ; 787";0-416-34190-X
P 1135cm;1590949001;"Jéquier, Jean-Pierre: Le Moustérien alpin : révision critique / par Jean-Pierre Jéquier (Eburodunum ; 2)(Cahiers d'ar... ; 2)";"Eburodunum ; 2";
P 1135d;1590950001;"Jern og jernvinne... / [red. Trond Løken] (AmS-Varia ; 4)";"AmS-varia ; 4";82-90215-12-6
P 1135e - 1;1590952001;"Fra Stamme til Stat i Danmark  1. Jernalderens stammesamfund. - 1988. - 148 S. : Ill., graph. Darst., Kt. (Jysk Arkaeologisk Selskabs skrifter ; 22,1)";"Jysk Arkaeologisk Selskabs skrifter ; 22,1";87-7288-048-1
P 1135e - 2;1590953001;"Fra Stamme til Stat i Danmark  2. Høvdingesamfund og Kongemagt. - 1991. - 298 S.  (Jysk Arkaeologisk Selskabs skrifter ; 22,2)";"Jysk Arkaeologisk Selskabs skrifter ; 22,2";
P 1135fb;1590954001;Jessup, Ronald Frederick: Anglo-Saxon jewellery / Ronald Jessup (Shire archaeology);Shire archaeology;
P 1135h;1590955001;"Jettmar, Karl: Die frühen Steppenvölker : der eurasiatische Tierstil ; Entstehung und sozialer Hintergrund / von Karl Jettmar - 1. Aufl. (Kunst der Welt ; 10)";"Kunst der Welt ; 10";
P 1135k;1590957001;"Jimeno Martínez, Alfredo: Los tolmos de Caracena... / Alfredo Jimeno Martinez (Excavaciones arqueologicas e... ; 134)";"Excavaciones arqueológicas en España ; 134";
P 1135l;1590958001;Jirku, Anton: Die Ausgrabungen in Palästina und Syrien / Anton Jirku - 2., verm....;;
P 1135m;214343002;"Jirku, Anton: Die Welt der Bibel : fünf Jahrtausende in Palästina-Syrien / Anton Jirku (Grosse Kulturen der Frühzeit ; 6)";;
P 1135na;1590961001;Jirku, Anton: Geschichte Palästina-Syriens im orientalischen Altertum / Anton Jirku;;
P 1135u;1590962001;"Joachim, Hans-Eckart: Ein Hügelgräberfeld bei Oberkostenz, Rhein-Hunsrück-Kreis / Hans-Eckart Joachim (Schriftenreihe des Hunsrückm... ; 4)";"Schriftenreihe des Hunsrückmuseums in Simmen ; 4";
P 1135v;1590965001;"Jobst, Werner: 11. Juni 172 n.Chr. : der Tag des Blitz- und Regenwunders im Quadenlande ; mit 34 Abbildungen auf 24 Tafeln und einem Faltplan (Sitzungsberichte ; 335)";"Sitzungsberichte ; 335";3-7001-0258-5
P 1135vb;1590966001;Jobst, Werner: Provinzhauptstadt Carnuntum : Österreichs größte archäologische Landschaft / Werner Jobst, unter Mitarb. von Herma Stiglitz u. Manfred Kandler;;3-215-04441-2
P 1135w;1590968001;Jochim, Michael A.: Hunter-Gatherer, subsistence and settlement : a predictive model / Michael A. Jochim (Studies in archeology);Studies in archeology;0-12-385450-4
P 1136;1590969001;"Jørgensen, Svend: Tree-felling : with original Neolithic flint-axes in draved wood; report on the experiments 1952 - 54 / Svend Jørgensen";;87-480-0484-7
P 1136g;1590971001;"Jørgensen, Ove Bruun: Billeder og myter fra bronzealderen : træk af ældre bronzealders religion i Norden / af Ove Bruun Jørgensen (Jysk Arkaeologisk Selskabs s... ; 20)";"Jysk arkæologisk selskabs skrifter ; 20";87-7288-044-9
P 1136k;1590972001;Joffroy, René: Le cimetière de Lavoye (Meuse) : nécropole mérovingienne / René Joffroy;;
P 1136kc;1590975001;Joffroy, René: Vix et ses trésors / René Joffroy;;2-235-00729-5
P 1136kd - 1;1590982001;Initiation a l'archéologie de la France 1. Préhistoire et protohistoire. - 1983.;;
P 1136kd - 2;1590984001;Initiation a l'archéologie de la France 2. Gallo-romain et Mérowingien. - 1983. - 236 S. ;;
P 1136ls;1590991001;"Joffroy, René: L` oppidum de Vix et la civilisation Hallstattienne finale dans l`est de la France / René Joffroy (Publications de l`Université... ; 20)";"Publications de l`Université de Dijon ; 20";
P 1136m;1591001001;Joffroy, René: Les sépultures a char du premier age du fer en France / René Joffroy;;
P 1136mb;1591003001;Joffroy, René: Le Trésor de Vix : histoire et porte d'une grande découverte / René Joffroy;;
P 1136o;1591007001;Johannsen, Otto: Geschichte des Eisens : im Auftr. des Vereins deutscher Eisenhüttenleute gemeinverständl. dargestellt  Otto Johannsen  / Otto Johannsen - 2. Aufl.;;
P 1136r;1591018001;Johansson, Axel D.: Barmose-gruppen : praeboreale bopladsfund i Sydsjaelland / Axel Degn Johansson;;
P 1136s;1591020001;Johansson, Lars: Socio-ekonomiska strukturer i tidigt neolitikum och deras... / Lars Johansson. Mit Beitr. von F. Johansson ...;;91-85952-00-1
P 1137;1591021001;John, Walter: Die Örtlichkeit der Varusschlacht bei Tacitus : eine Quellenuntersuchung / Walter John;;
P 1137b;1591025001;John, Walther: P. Quinctilius Varus und die Schlacht im Teutoburger Walde / von Walther John - Sonderdr.;;
P 1137ba;1591030001;Ausonius, Decimus Magnus: Ausonius Mosella : mit einer Einführung in die Zeit und die Welt des Dichters / übers. und erkl. von Walter John - [2. Aufl....;;3-87760-606-7
P 1137f;1591032001;Johns, Catherine: Arretine and Samian pottery / by Catherine Johns;;0-7141-1361-1
P 1137fb;1591033001;"Johns, Catherine ; Potter, Timothy W.: The Thetford treasure : Roman jewellery and silver / Catherine Johns and Timothy Potter ; with contr. by M. R. Cowell ...";;0-7141-1372-7
P 1137h;1591036001;"Johnsen-Welinder, Barbro ; Welinder, Stig: Järnåldersgravfält i Mälardalen : Med bidrag av Nils-Gustav Gejevall, Rolf Jonsson u. Ove Persson / Barbro Johnsen-Welinder... (Acta archaeologica Lundensia... ; 2)";"Acta archaeologica Lundensia : Series in 8° minore ; 2";91-40-03215-9
P 1137m;1591189001;Johnson, Anne: Roman forts of the 1st and 2nd centuries AD in Britain and the German Provinces / Anne Johnson;;0-7136-2223-7
P 1137mb;1591190001;"Johnson, Anne: Römische Kastelle des 1. und 2. Jahrhunderts n. Chr. in Britannien und in den germanischen Provinzen des Römerreiches (Kulturgeschichte der antiken... ; 37)";"Kulturgeschichte der antiken Welt ; 37";3-8053-0868-X
P 1137o;1591191001;Johnson, Stephen: The Roman forts of the Saxon Shore / Stephen Johnson (Archaeology and anthropology);Archaeology and anthropology;0-236-40024-X
P 1137ob;1591193001;Johnson, Stephen: Later Roman Britain / Stephen Johnson (Britain before the conquest);Britain before the conquest;0-7100-0432-X
P 1137oc;1591194001;Johnson, Stephen: Late Roman fortifications / Stephen Johnson;;0-7134-3476-7
P 1137od;1591196001;Johnson, Stephen: Book of Hadrian's Wall / Stephen Johnson;;0-7134-5958-1
P 1137s;1591197001;Johnstone, Paul: The sea-craft of prehistory / Paul Johnstone. Prepared for publ. by Seán McGrail;;
P 1138;1591199001;"Jolibert, Bernard: Le gisement campaniforme de Muret / Bernard Jolibert (Archives d'écologie préhisto... ; 8)";"Archives d'écologie préhistorique ; 8";
P 1139;1591200001;Jordan, Karl: Deutsches Reich und Kaisertum 911 - 1056 / von Karl Jordan;;
P 1139f;1591201001;Jordan, Wilhelm: Funde von Altenritte / von W. Jordan;;
P 1139s;1591202001;Jorn, Asger: Indfald og udfald : om billedtematiske sammenhæng mellem nordisk oldtids- og middelalderkunst / Asger Jorn;;87-418-1945-4
P 1140;1591203001;Jorns, Werner: Die Hallstattzeit in Kurhessen / Werner Jorns (Veröffentlichungen des Kurhessische...);Veröffentlichungen des Kurhessischen Landesamts für Vor- und Frühgeschichte;
P 1141;1591204001;"Archäologische Funde... / Bearb. und Red.: Christina Jacob (Museo ; 4)";"Museo ; 4";
P 1142;1591205001;"Koch, Ursula: Alamannen in Heilbronn : archäologische Funde des 4. und 5. Jahrhunderts / Ursula Koch (Museo ; 6)";"Museo ; 6";
P 1143;1591207001;"Jorns, Werner: Vor- und frühgeschichtliche Siedlungen in Rötha-Geschwitz : Teil 1: Die germanischen Dorfreste / Werner Jorns (Veröffentlichun...)(Vorgesch... ; 1)";"Veröffentlichungen des Städtischen Museums für Völkerkunde zu Leipzig ; 7";
P 1143h;1591208001;"Jovanovic, Borislav: Rudna Glava : najstarije rudarstvo bakra na centralnom Balkanu / Borislav Jovanovic; Urednik Ilija Jankovic (Posebna izdanja / Muzej rudarstva i...)";Posebna izdanja / Muzej rudarstva i metalurgije;
P 1143m;1591209001;"Jude, Paul-Emile: La grotte de Rochereil : station magdalénienne et azilienne / P. E. Jude (Mémoire des archives de l'In... ; 30)";"Archives de l'Institut de Paléontologie Humaine ; 30";
P 1144;1595151001;"Juhász, Gyoergyi: A brigetiói terra sigilláták = Die Sigillaten von Brigetio / Irta Juhász Györgyi (Dissertationes Pannonicae : ... ; 3)";"Dissertationes Pannonicae : Series 2 ; 3";
P 1144m;214454006;"Jung, Alfred: Die Orts-, Flur- und Gewässernamen des Amtes Halver / Alfred Jung (Altenaer Beiträge ; 7)";"Altenaer Beiträge ; 7";
P 1144mb;214452006;"Jung, Alfred: Halver und Schalksmühle : Untersuchungen und Gedanken zur Siedlungsgeschichte des Amtes Halver, eines alten Kirchspiels... (Altenaer Beiträge ; 13)";"Altenaer Beiträge ; 13";
P 1145;1591210001;Jung, Erich: Germanische Götter und Helden in christlicher Zeit : Beiträge zur Entwicklungsgeschichte der deutschen Geistesform / von Erich Jung;;
P 1146;406605001;Jung, Ernst F.: Sie bezwangen Rom : die dramatische Rolle der germanen von der frühzeit bis zu Karl dem Großen / Ernst F. Jung;;3-430-15151-1
P 1146m;1591212001;Jung, Hermann: Bier - Kunst und Brauchtum / Hermann Jung - [2. verb....;;
P 1146s;1591213001;Jung, Julius: Römer und Romanen in den Donauländern : Historisch-etnographe Studien / Julius Jung;;
P 1147;1591214001;"Koch, Ursula: Franken in Heilbronn : archäologische Funde des 6. und 7. Jahrhunderts / Ursula Koch ;  Mit Beitr. von Kurt W. Alt ; Peter... (Museo ; 8)";"Museo ; 8";3-930811-00-6
P 1148 - 1;1591217001;"Die Reiter Roms 1. Teil. Junkelmann, Marcus : Reise, Jagd, Triumph und Circusrennen - 1990. - 293 S. (Kulturgeschichte der Antiken Welt ; 45)";"Kulturgeschichte der Antiken Welt ; 45";3-8053-1006-4
P 1148 - 2;1591218001;"Die Reiter Roms 2. Teil. Junkelmann, Marcus : Der militärische Einsatz - 1991. - 222 S. (Kulturgeschichte der Antiken Welt ; 49)";"Kulturgeschichte der Antiken Welt ; 49";3-8053-1139-7
P 1148 - 3;1591219001;"Die Reiter Roms 3. Teil . Junkelmann, Marcus : Zubehör, Reitweise, Bewaffnung - 1992. - 277 S. (Kulturgeschichte der Antiken Welt ; 53)";"Kulturgeschichte der Antiken Welt ; 53";3-8053-1288-1
P 1148s;1591220001;Jungwirth-Festschrift / Schriftleitung: Friedrich Bachmayer ...;;
P 1148w;1591221001;"Just, Margit  ; Kamburg, Petra: Das Verhältnis des Freien Germaniens zum römischen Reich : Die Besiedlungsgeschichte des Gebietes zwischen Lippe, Ruhr und weser vom 1. bis 4. Jahrhundert.";;
P 1149;1591222001;"Kaba, Melinda: Die römische Orgel von Aquincum : (3. Jh.) / Melinda Kaba - 2. Aufl. (Musicologia hungarica ; N.F., 6)";"Musicologia Hungarica ; N.F., 6";
P 1150;1591225001;"Kadic, Ottokár: Der Mensch zur Eiszeit... / Ottokár Kadic, hrsg. von der Kgl. Ung. Geolog. Anstalt (Annales ... ; 30,1)(Mitteilu... ; 30,1)";"Annales Instituti regii Hungarici Geologici ; 30,1";
P 1151;1591228001;Kadrow, Slawomir: Iwanowice, stanowisko Babia Góra : 1. Rozwój przestrzenny osady z wczesnego okresu epoki brøazu / Slawomir Kadrow (Iwanowice, Stanowisko Babia Góra);Iwanowice, Stanowisko Babia Góra;83-85463-00-3
P 1151b;1591229001;Kadrow, Slawomir: Iwanowice, stanowisko Babia Góra.  : 2. Cmentarzysko z wczesnego okresu epoki brazu / Slawomir Kadrow;;83-85483-74-8
P 1152;1591230001;Kadner, Siegfried: Urheimat und Weg des Kulturmenschen / Siegfried Kadner (Veröffentlichung der Herman-Wirth-G...);Veröffentlichung der Herman-Wirth-Gesellschaft;
P 1152b;1591233001;"Kähler, Heinz: Die Villa des Maxentius bei Piazza Armerina / Heinz Kähler (Monumenta artis romanae ; 12)";"Monumenta artis Romanae ; 12";3-7861-2185-0
P 1152bs;1591240001;"Kaenel, Gilbert: La fouille du ""Garage Martin 1973"" : précisions sur le site de Clendy à Yverdon (néolithique et âge du bronze) (Eburodunum ; 4)(Cahiers d'ar... ; 8)";"Eburodunum ; 4";
P 1152bsb;1591266001;"Kaenel, Gilbert ; Curdy, Philippe ; Zwahlen, Hanspeter: Saint-Triphon : Le Lessus (Ollon, Vaud) du néolithique à l'époque romaine / Gilbert Kaenel ; Philippe Curdy ; Hanspeter Zwahlen (Cahiers d'archéologie romande ; 30)";"Cahiers d'archéologie romande ; 30";2-88028-030-3
P 1152bv - 1;1591268001;Die Grundlegung des Hellenismus 1. Kaerst, Julius : Die Grundlegung des Hellenismus. - Nachdr. d. 3. Aufl.1927 - 1975.;;
P 1152bv - 2;1591270001;Die  Grundlegung des Hellenismus 2. Kaerst, Julius : Das Wesen des Hellenismus. - Nachdr. d. 2. Aufl. 1926 - 1975.;;
P 1152c;50725004;"Kästner, Kurt Wilhelm: Der westfälische Lebensraum in der Baukunst des Mittelalters / Von Kurt Wilhelm Kästner ([Teildruck aus:] Der Raum We... ; ...)";;
P 1152ck;1591271001;Kahl-Furthmann, Gertrud: Die Frage nach dem Ursprung der Etrusker / Gertrud Kahl-Furthmann;;3-445-01315-2
P 1152d;1591272001;Kahlke, Hans-Dietrich: Die Bestattungssitten des donauländischen Kulturkreises der jüngeren Steinzeit / Hans-Dietrich Kahlke;;
P 1152db;1591273001;Kahlke, Hans-Dietrich: Ausgrabungen in aller Welt / Hans-Dietrich Kahlke - 2. Aufl.;;
P 1152dc;1591274001;Kahlke, Hans Dietrich: Die Cervidenreste aus den altpleistozänen Ilmkiesen von Süssenborn bei Weimar / Hans-Dietrich Kahlke;;
P 1152dp;1591280001;Kahlke, Hans-Dietrich: Der Mensch der Steinzeit : Lebensbilder nach mitteleuropäischen Funden mit 40 Farbtafeln von Kurt Hübner u. 89 Abbildungen im Text / Hans-Dietrich Kahlke;;
P 1152g;1591283001;"Kahrs, Ernst: Aus Essens Vor- und Frühgeschichte / Ernst Kahrs (Mitteilung aus dem Ruhrland-... ; 171)";"Mitteilung aus dem Ruhrland-Museum der Stadt Essen ; 171";
P 1152h;23547002;"Kaiser, Reinhold: Untersuchungen zur Geschichte der Civitas und Diözese Soissons in römischer und merowingischer Zeit / von Reinhold Kaiser (Rheinisches Archiv : Veröffe... ; 89)";;3-7928-0347-X
P 1152i;1591286001;"Zum Kaisertum Karls des Grossen : Beiträge und Aufsätze / hrsg. von Gunther Wolf (Wege der Forschung ; 38)";"Wege der Forschung ; 38";3-534-04549-1
P 1152m;1591289001;Kalicz, Nándor: Götter aus Ton : das Neolithikum und die Kupferzeit in Ungarn  / Nándor Kalicz.(Aus d. Ungar. von Joseph Sternberg. Zeichn.... (Hereditas);Hereditas;
P 1152mm - 1;1591296001;"1. Archeologické prameny z pohérebiéstée : Archäologische Quellen vom Gräberfeld. - 1971. - 207 S. : zahlr. Abb. (Opera Universitatis Purkynianae Brunensis : Facu... ; 169)";"Spisy Filosofické Fakulty ; 169";
;1765731001;;"Spisy Filozofické Fakulty Masarykovy Univerzity ; 455";978-80-210-8455-1
;1765732001;;;978-80-210-8417-9
P 1152n;406541001;Kaltwasser, Ute: Die Kölner in der Römerzeit / Ute Kaltwasser;;3-7743-0144-1
P 1152p;1591309001;Kam, W. H.: De terra sigillata vondsten uit de tijd van Augustus : besproken aan de hand van verschillende opgravingen / W. H. Kam;;
P 1152s;1591310001;Kammerer-Grothaus, Helke: Frauenleben - Frauenalltag im antiken Griechenland / [Text: Helke Kammerer-Grothaus. Antikenmuseum Berlin, Staatl. Museen Preuss. Kulturbesitz];;3-88609-153-8
P 1152t;214585006;Kampschulte, Heinrich: Die westfälischen Kirchen-Patrocinien : besonders auch in ihrer Beziehung zur Geschichte der Einführung und Befestigung des Christenthums in Westfalen - Fotomecha...;;
P 1152v;1591311001;"Kandler, Manfred: Die Ausgrabungen im Legionslager Carnuntum : 1968 - 1973 ; eine vorläufige Zusammenfassung. Mitteilung in der Sitzung der phil. -hist. Klasse am 6. Febr. 1974 ";;
P 1152vb;1591312001;Kandler, Manfred: Vorläufiger Bericht über die Grabungen im Legionslager Carnuntum in den Jahren 1974 bis 1977 / Manfred Kandler;;
P 1153;1591313001;"Kandyba, Oleh: Schipenitz : Kunst und Geräte eines neolithischen Dorfes / Oleh Kandyba (Bücher zur Ur- und Frühgesch... ; 5)";"Bücher zur Ur- und Frühgeschichte ; 5";
P 1153g;1591314001;Kaphahn, Fritz: Zwischen Antike und Mittelalter : Das Donau-Alpenland im Zeitalter St. Severins / Fritz Kaphahn - Nachdr.d....;;3-511-09098-9
P 1153h;1591317001;"Kapitoly k praveku... / Archeologický Ústav, Ceskoslovenské Akademie Ved (Archeologické studijní mater... ; 2)";"Archeologické studijni Materiály ; 2";
P 1153i;1591335001;"Kappel, Irene: Steinkammergräber und Menhire in Nordhessen / von Irene Kappel (Führer zur nordhessischen Ur... ; 5)";"Führer zur nordhessischen Ur- und Frühgeschichte ; 5";
P 1153k;1591336001;"Kapps, Raymond: Escolives Sainte - Camille gallo - romain : le site ; le monument à arcades / Raymond Kapps (Revue archéologique de l'Est... ; 1)";"Revue archéologique de l'Est et du Centre-Est : Supplément ; 1";
P 1153s;1591337001;Karagiorges, Basos: Kition : Mycenaean and Phoenician discoveries in Cyprus / Basos Karagiorges (New aspects of antiquity);New aspects of antiquity;
P 1153t;1591338001;Karageorghis, Vassos: The end of the late bronze age in Cyprus / by Vassos Karageorghis;;9963-560-71-7
P 1154;1591339001;"Karger, Michail Konstantinovic: Archeologiceskie issledovanija drevnego Kieva : otcety i materialy ; (1938-1947 gg.) / M. K. Karger. Akademija Nauk Ukrainskoj SSR, Institut Archeologii ; Akademija...";;
P 1154e - 1;17781002;Karl der Große - Lebenswerk und Nachleben 1. Persönlichkeit und Geschichte. - 1965. - 857 S. : Ill., Kt.;;
P 1154e - 2;1595152001;Karl der Große - Lebenswerk und Nachleben 2. Das geistige Leben. - 1. Aufl. - 1965. - 306 S. : Ill.;;
P 1154e - 4;17784002;Karl der Große - Lebenswerk und Nachleben 4. Das Nachleben. - 1. Aufl. - 1967. - 484 S. : Ill., Kt. + 1 Beil.;;
P 1154e - 5;17785002;Karl der Große - Lebenswerk und Nachleben 5. Registerband. - 1. Aufl. - 1968. - 143 S.;;
P 1154e -3;1595153001;Karl der Große - Lebenswerk und Nachleben 3. Karolingische Kunst. - 1. Aufl. - 1965. - 590 S. : zahlr. Ill., graph. Darst., Kt.;;
P 1154ek;1591340001;"Karlsson, Lennart: Nordisk form : om djurornamentik / Lennart Karlsson (The Museum of National Ant... ; 3)";"The Museum of National Antiquities Stockholm ; 3";91-7192-572-4
P 1154es;1591341001;Karmanski, Sergej: Bronzanodobni i halstatski lokaliteti jugozapadne Backe : pregled materijala sa lokaliteta iz okoline Odzaka / Sergej Karmanski;;
P 1154g - 1;1591343001;Die römischen Kastelle von Lentia (Linz) 1. Textband. - 1970. - 74 S. : graph. Darst.;;
P 1154g - 2;1591344001;Die römischen Kastelle von Lentia (Linz) 2. Tafelband. - 1972. - 349 S. : Ill., graph. Darst.;;
P 1154h;1591345001;"Karnitsch, Paul: Die Linzer Altstadt in römischer und vorgeschichtlicher Zeit / Paul Kanitsch (Linzer archäologische Forschungen ; 1)";"Linzer archäologische Forschungen ; 1";
P 1154k;1591347001;"Karnitsch, Paul: Die Reliefsigillata von Ovilava (Wels, Oberösterreich) / Paul Karnitsch (Schriftenreihe des Instituts... ; 12)";"Schriftenreihe des Instituts für Landeskunde von Oberösterreich ; 12";
P 1154kb;1591348001;"Karnitsch, Paul: Sigillata von Iuvavum : (Salzburg) ; die reliefverzierte Sigillata im Salzburger Museum Carolino Augusteum / Paul Karnitsch (Salzburger Museum Carolino A... ; 16)";"Salzburger Museum Carolino Augusteum: Jahresschrift ; 16";
P 1154kc;1591349001;"Karnitsch, Paul: Die Sigillata von Veldidena : (Wilten - Innsbruck) / Paul Karnitsch (Archäologische Forschungen i... ; 1)";"Archäologische Forschungen in Tirol ; 1";
P 1154p;1591350001;"Karsten, Torsten E.: Die Germanen : eine Einführung in die Geschichte ihrer Sprache und Kultur / von T. E. Karsten (Grundriss der germanischen P... ; 9)";"Grundriss der germanischen Philologie ; 9";
P 1154w - 1;226194005;"Der Stadtkreis Münster 1820 bis 1955 : Erläuterungen zur Karte 1 : 10.000 / von Wilhelm Müller-Wille und Elisabeth Bertelsmeier (Landeskundliche... : Reihe Si... ; 1)";Landeskundliche Karten und Hefte der Geographischen Kommission für Westfalen;
P 1154w - 10;14815006;"Lievenbrück, Bruno: Der Nordhümmling : zur Entwicklung ländlicher Siedlungen im Grenzbereich von Moor und Geest / von Bruno Lievenbrück (Siedlung und La... : Landesku... ; 10)";;
