Signatur;EXEMPLARNR;Kurztitel;GTV;ISBN
P 1030 - 2;1595246001;"Müller-Karpe, Hermann: Metallzeitliche Funde aus Süddeutschland / von Hermann Müller-Karpe (Inventaria archaeologica : D... ; ...)";"Inventaria archaeologica : Deutschland ; H. 2 = Bl. D 11 - D 20";
P 1030 - 3;1595248001;"Zürn, Hartwig ; Marien, Marcel-Edouard: Hallstattgrabfunde aus Württemberg / von Hartwig Zürn (Inventaria archaeologica : D... ; ...)";"Inventaria archaeologica : Deutschland ; H. 3 = Bl. D 31 - D 40";
P 1030 - 4;1595254001;"Böhner, Kurt ; Marien, Marcel-Edouard: Fränkische Waffengräber aus dem Moselland / Kurt Böhner ; Marcel-Edouard Marien (Inventaria archaeologica : D... ; ...)";"Inventaria archaeologica :  Deutschland ; H.  4 = Bl. D 31 - D 40";
P 1030 - 5;1595255001;"Schuldt, Ewald: Metallzeit : Germanische Grabfunde der Jahrhunderte nach Beginn unserer Zeitrechnung aus Mecklenburg / Ewald Schuldt ;... (Inventaria archaeologica : D... ; ...)";"Inventaria archaeologica : Deutschland ; H. 5 = Bl. D 41 - D 50";
P 1030 - 6;1595256001;"Coblenz, Werner: Steinzeit : Grabfunde der Schnurkeramik und Kugelamphoren aus Sachsen / Werner Coblenz (Inventaria archaeologica : D... ; ...)";"Inventaria archaeologica : Deutschland ; H. 6 = Bl. D 51 - D 60";
P 1030 - 7;1595257001;"Coblenz , Werner: Metallzeit : Grabfunde der Lausitzer Kultur aus Sachsen / Werner Coblenz  (Inventaria archaeologica : D... ; ...)";"Inventaria archaeologica : Deutschland ; H. 7 = Bl. D 61 - D 70";
P 1030 - 8;1595258001;"Coblenz, Werner ; Marien, Marcel-Edouard: Metallzeit : Grabfunde der Billendorfer Kultur aus Sachsen / Werner Coblenz ; Marcel-Edouard Marien (Inventaria archaeologica : D... ; ...)";"Inventaria archaeologica : Deutschland ; H. 8 = Bl. D 71 - D 79";
P 1030 - 9;1595259001;"Kahlke, Hans-Dietrich: Steinzeit : Grabfunde mit Linienbandkeramik aus Thüringen / Hans-Dietrich Kahlke (Inventaria archaeologica : D... ; ...)";"Inventaria archaeologica :  Deutschland ; H. 9 = Bl. D 80 - D 90";
;1596201001;;;
P 1030a - 1;1595661001;"Marien, Marcel Édouard: Ages des metaux : (Fiches B 1 - B 10)  / Marcel Édouard Marien (Inventaria archaeologica: Be... ; ...)";"Inventaria archaeologica: Belgique ; Fasc. 1 = B 1 - B 10";
P 1030a - 2;1595663001;"Amand, Marcel ; Marien, Marcel-Edouard: La tombe de Herstal / M. Amand et M.-E. Marien (Inventaria archaeologica: Be... ; ...)";"Inventaria archaeologica: Belgique ; Fasc. ; 2 = B 11";
P 1030a - 3;1595665001;"Lefrancq, Janette: La Bortombe de Walsbets : Tumulus Belgo-Romain / par Janette Lefrancq (Inventaria archaeologica : B... ; ...)";"Inventaria archaeologica : Belgique ; Fasc. 3 =  B 12";
P 1030a - 4;1595666001;"Lefrancq, Janette: Les Tombes Noirmont : Tumulus Belgo-Romain / par Janette Lefrancq (Inventaria archaeologica: Be... ; ...)";"Inventaria archaeologica: Belgique ; Fasc. 4 = B 13 -14";
;1596204001;;;
P 1030b - 1;1595668001;"Joffroy, René ; Audin, R. ; Riquet, Raymond: Ages des metaux / par R. Joffroy ; R. Audin et R. Riquet (Inventaria archaeologica : F... ; ...)";"Inventaria archaeologica : France ; Fasc.1 =  F1- F6";
P 1030b - 2;1595670001;"Audibert, J.: Ages des métaux : Tumuli hallstattiens du Hérault et du Gard ;  / par J. Audibert (Inventaria archaeologica : F... ; ...)";"Inventaria archaeologica : France ; Fasc.2 = F 7 - F 16";
P 1030b - 3;1595672001;"Briard, Jacques: Civilisation des tumulus armoricains / par J. Briard. Avec la collab. d'Y. Onnee (Inventaria archaeologica : F... ; ...)";"Inventaria archaeologica : France ; Fasc. 3 = F 17 - F 28";
P 1030b - 4;1595675001;"Reboul, R. ; Millotte, J.-P.: Dépots de l'âge du bronze final en Lorraine et en Sarre / par R. Reboul et J.-P. Millotte. Avec la collab. de D. Baudais (Inventaria archaeologica : F... ; ...)";"Inventaria archaeologica : France ; Fasc. 4 = F 29 - F 49";
P 1030c - 1;1595679001;"Grave-groups and hoards of the British Bronze Age 1.  - 1955. - 12 Bl. (Inventaria archaeologica : Great Britain ; ...)";"Inventaria archaeologica : Great Britain ; 1st Set = GB. 1- 8";
P 1030c - 2;1595680001;"Bronze age hoards in the British Museum / ed. by M. A.Smith (Inventaria archaeologica : G... ; ...)";"Inventaria archaeologica : Great Britain ; 2nd Set = GB. 9 - 13";
P 1030c - 3;1607946001;"Grave-groups and hoards of the British Bronze Age 2.  - 1956. - 12 Bl. (Inventaria archaeologica / Great Britain ; ...)";"Inventaria archaeologica : Great Britain ; 3rd Set : GB. 14 - 18";
P 1030c - 4;1607947001;"Bronze age hoards and grave-groups from the N. E. Midlands / ed. by M. A. Smith (Inventaria archaeologica : G... ; ...)";"Inventaria archaeologica : Great Britain ; 4th Set = GB. 19 - 24";
P 1030c - 5;1607948001;"Early and middle bronze age grave-groups and hoards from Scotland / ed. by Stuart Piggott and Margaret Stewart (Inventaria archaeologica : G... ; ...)";"Inventaria archaeologica : Great Britain ; 5th Set = GB 25-34";
P 1030c - 6;1607949001;"Late bronze age hoards in the British Museum / ed. by M. A. Smith (Inventaria archaeologica : G... ; ...)";"Inventaria archaeologica : Great Britain ; 6th Set = GB. 35 - 41";
P 1030c - 7;1607950001;"Smith, M. A.: Middle bronze hoards from southern England / ed. by M. A. Smith (Inventaria archaeologica : G... ; ...)";"Inventaria archaeologica : Great Britain ; 7th Set = GB. 42-47 ";
