Signatur	STANDORT_Hilfsspalte	STANDORT2	STANDORT3	ZUGANGSNR	EXEMPLARNR	Kurztitel	GTV	HST	Sachgruppe	Ort	"Epoche/
Räume"	ISBN
P 1907	P 001907	Zentrale		BV76/103	1605753001	"Nyssen, Wilhelm ; Sonntag, Franz-Peter: Der Gott der wandernden Völker : frühe christliche Zeugnisse der keltisch-germanischen Stämme von Västergötland bis Asturien / Wilhelm Nyssen/Franz-Peter Sonntag"		Der Gott der wandernden Völker	"KU;REL"	EU	VWZ/FMA	
P 1908	P 001908	Zentrale		BV96/201	1605755001	"Dvorák, Petr ; Hájek, Ladislav: Die Gräberfelder der Glockenbecherkultur bei Slapanice (Bez. Brno-Venkov) : Katalog der Funde / Petr Dvorák ; Ladislav Hájek (Mährische archäologische Quellen)"	Mährische archäologische Quellen	¬Die¬ Gräberfelder der Glockenbecherkultur bei Slapanice (Bez. Brno-Venkov)	GRÄ	EU	NEO	
P 1909 - 1	P 001909 - 1			BV096/202	1605761001	Die Gräberfelder der Glockenbecherkultur in Mähren 1. (Bez. Blansko, Brno-msto, Brno-venkov).. - 1992. - 52 S., 75 Taf. : Ill., graph.Darst., Kt.		Bez. Blansko	GRÄ	EU	NEO	
P 1909 - 2	P 001909 - 2			BV05/71	1605762001	Die Gräberfelder der Glockenbecherkultur in Mähren 2. (Bezirk Breclav). - 1996. - 78 S., 58 Taf. : überw. Ill., graph.Darst.		Bezirk Breclav	GRÄ	EU	NEO	
P 1910	P 001910	Zentrale		BV63/270	1605764001	Oakeshott, Ronald Ewart: The Archaeology of weapons : arms and armour from prehistory to the age of chivalry / R[onald] Ewart Oakeshott. Illustr. by the author		¬The¬ Archaeology of weapons	MET			
P 1911	P 001911	Zentrale		BV96/204	1605915001	"Fridrichová, Marie: Halstatská sidliste v prazském územi / Marie Fridrichová (Acta Musei Pragensis ; 74)"	"Acta musei Pragensis ; 74"	Halstatská sidliste v prazském územi	SIE	CZ	EZ	
P 1912	P 001912	Zentrale		BV96/130	1605916001	Amira, Karl von: Das altnorwegische Vollstreckungsverfahren : eine rechtsgeschichtliche Abhandlung / Karl von Amira - Neudr....		¬Das¬ altnorwegische Vollstreckungsverfahren	GE	SK	MA/NZ	
P 1913	P 001913	Zentrale		BV71/240	1605917001	Oakley, Kenneth Page: Datierung menschlicher Fossilien / von Kenneth P. Oakley. Aus dem Engl. übers. von Gerhard Heberer		Datierung menschlicher Fossilien	"AN;DAT;GES"	"EU;AF"	PAL/MES	3-437-30107-1
P 1914	P 001914	Zentrale		BV96/196	1605918001	"Amiotti, Gabriella ; Gallina Antico, Mariavittoria ; Violante,... Genti preromane nel paesaggio e nella storia / Gabriella Amiotti, Mariavittoria Antico Gallina, Antonio Violante (Popoli dell'Italia antica)"	Popoli dell'Italia antica	Genti preromane nel paesaggio e nella storia	GES	I	"PAL/MES;NEO;BZ;EZ"	
P 1915	P 001915	Zentrale		BV96/193	1605919001	Bender Jørgensen, Lise: North European textiles : until AD 1000 / Lise Bender Jørgensen		North European textiles	"TEC;KLE"	EU	"NEO;BZ;EZ;RKZ;VWZ/FMA"	87-7288-416-9
P 1916	P 001916	Zentrale		BV85/756	1100649002	Oberdorfer, Erich: Pflanzensoziologische Exkursionsflora / Erich Oberdorfer - 5. überar...		Pflanzensoziologische Exkursionsflora	BO	D		3-8001-3429-2
P 1917	P 001917	Zentrale		BV96/210	1605920001	"""Daz kint spilete und was fro"" : spielen vom Mittelalter bis heute ; [ersch. anlässlich der Ausstellung ""Daz kint spilete und was fro"" - Spielen vom Mittelalter..."		"¬""Daz¬ kint spilete und was fro"""	"SOKA;KULT"	D	MA/NZ	3-7950-0720-8
P 1918	P 001918	Zentrale		BV96/148	1605921001	"Hütt, Michael: Aquamanilien : ""Quem lavat unda foris...""; Gebrauch und Form / Michael Hütt"		Aquamanilien	"MET;KER"	EU	MA/NZ	3-8053-1400-0
P 1919 - 2	P 001919 - 2	Zentrale		BV80/373	1606185001	L`Alsace à l'âge du fer 2. [Livre de l'élève] . - 1975.		[Livre de l'élève] 	SCH	F	EZ	
P 1919 -1	P 001919 -1	Zentrale		BV80/373	1606184001	L`Alsace à l'âge du fer 1. Livre du maitre. - 1975.		Livre du maitre	SCH	F	EZ	
P 1920	P 001920	Zentrale		BV96/214	1606186001	"Goldmann, Klaus ; Schneider, Wolfgang: Das Gold des Priamos : Geschichte einer Odyssee / Klaus Goldman ; Wolfgang Schneider - 1. Aufl."		¬Das¬ Gold des Priamos	"MUS;GES"	D		3-378-01002-9
P 1921	P 001921	Zentrale		BV96/216	716124002	Lang, Gerhard: Quartäre Vegetationsgeschichte Europas : Methoden und Ergebnisse / Gerhard Lang		Quartäre Vegetationsgeschichte Europas	"GEO;BO;GES"	EU		3-334-60405-5
P 1922	P 001922	Zentrale		BV95/935	1606187001	"Black-Veldtrup, Mechthild: Kaiserin Agnes (1043 - 1077) : quellenkritische Studien / Mechthild Black-Veldtrup (Münstersche historische Fors... ; 7)"	"Münstersche historische Forschungen ; 7"	Kaiserin Agnes (1043 - 1077)	GE	EU	MA/NZ	3-412-02695-6
P 1923	P 001923	Zentrale		BV68/116	1606188001	Obermayr, August: Römerstadt Carnuntum : Ruinen, Grabungen, Funde / August Obermayr		Römerstadt Carnuntum	SIE	A	RKZ	
P 1924	P 001924	Zentrale		BV71/254	1606189001	Obermayr, August: Kelten und Römer am Magdalensberg : Ruinen, Grabungen, Funde / August Obermayr		Kelten und Römer am Magdalensberg	SIE	A	"EZ;RKZ"	3-215-71420-5
P 1925	P 001925	Zentrale		BV86/740	50857006	"Oberschelp, Reinhard: Die Edelherren von Büren bis zum Ende des 14. Jahrhunderts / von Reinhard Oberschelp (Veröffentlichun... : XXII, Ge... ; 6)"	Veröffentlichungen der historischen Kommission Westfalens	Die Edelherren von Büren bis zum Ende des 14. Jahrhunderts	GE	W	MA/NZ	
P 1926	P 001926	Zentrale		BV83/708	1606190001	"O'Connor, Terry: Animal bones from Flaxengate, Lincoln, c 870-1500 / Terry O'Connor. Mike Wilkinson [Mitarb.] (The Archaeology of Lincoln ; 18,1)"	" The Archaeology of Lincoln ; 18,1"	Animal bones from Flaxengate, Lincoln, c 870-1500	ZOO	BR	"VWZ/FMA;MA/NZ"	0-906780-13-6
