EXEMPLARNR;ISBN
406541001;3-7743-0144-1
1591309001;
1591310001;3-88609-153-8
214585006;
1591311001;
1591312001;
1591313001;
1591314001;3-511-09098-9
1591317001;
1591335001;
1591336001;
1591337001;
1591338001;9963-560-71-7
1591339001;
17781002;
1595152001;
17784002;
17785002;
1595153001;
1591340001;91-7192-572-4
1591341001;
1591343001;
1591344001;
1591345001;
1591347001;
1591348001;
1591349001;
1591350001;
226194005;
14815006;
14814007;
208733004;
14812006;
14812007;
14811006;
220222005;
226402004;
227144006;
225439009;
1102669007;
14810003;
202879006;
230103006;
229877007;3-87023-062-2
215687007;
5995009;
13903008;
18548007;
113637011;3-87023-164-5
113638012;3-87023-165-3
19627010;
221319005;
616574006;
616575002;
20540003;3-402-05037-4
23801005;3-402-06318-2
124788004;3-402-06319-0
1510324003;978-3-402-06320-0
1508836007;978-3-402-06321-7
1507205004;3-402-06322-0
1593365009;978-3-402-14830-3
1645077011;978-3-402-14832-7
1664171011;978-3-402-14833-4
222929002;
1705162008;978-3-402-14834-1
1743175009;978-3-402-14835-8
14809005;
14808006;
14807003;
14806006;
14816005;
1591352001;
1591526001;
1591527001;
1591528001;
1591529001;
1591532001;
1591538001;
1591539001;
1591543001;3-421-01623-2
22748002;
22749002;
214713002;
1591548001;
1591551001;
1591553001;
1591554001;
1591556001;
1591557001;
1591560001;3-511-09099-7
1591563001;
1591574001;
1591576001;
1591591001;
1591592001;
1591593001;
1591595001;
1591597001;
1591598001;3-7991-5676-3
1591600001;
1526004002;3-8062-0211-7
1591602001;
1594856001;
1594857001;0-903681-07-2
1594858001;
1594859001;
406012001;90-70197-11-1
1594864001;90-70179-41-5
1594867001;90-70179-41-5
1506439003;
1594868001;
1594869001;0-06-480457-7
1594870001;
1594871001;3-406-09204-7
1594872001;3-900575-00-2
1594873001;0-85263-424-2
1594874001;
1594875001;3-7995-3310-9
1594876001;3-7765-2095-7
1594879001;
1594880001;
1594882001;
1594883001;3-7757-0502-3
1594885001;3-922541-27-5
1594887001;
402966002;
1594889001;
1594891001;
1564795002;
1594893001;
1704361001;
1594895001;
1594897001;
712130005;
1594899001;
1594900001;
1594901001;
1594903001;
506028002;
1594904001;
1594908001;
1594909001;
1594910001;
1594911001;
300821004;3-89053-032-X
215020005;
1590024001;0-7099-0387-1
1590030001;
1590031001;
1590032001;
1590034001;
1590035001;3-7749-1756-6
1590037001;
1590039001;
218487002;3-87088-740-0
1590042001;
1590044001;
1590046001;0-86159-006-6
1590047001;0-946346-01-1
1590048001;0-7141-1371-9
1590049001;0-904857-02-6
1590051001;
1590053001;
1590054001;
1590060001;
1590061001;
1590063001;
1590065001;3-7749-1816-3
1590069001;
1590070001;
1590071001;
1590073001;
1590075001;
1590077001;3-7749-2318-3
215120007;
215117002;
1590079001;0-7141-0528-7
1590080001;3-7701-1374-8
1590082001;
1590083001;
1590085001;
1590087001;
1590088001;
1590089001;91-7402-020-X
1590241001;
1590242001;
709848003;3-7927-0789-6
1575165002;
1590243001;
1590244001;3-7749-1120-7
1590245001;
1590246001;
1590247001;
1590248001;3-515-01878-6
729446002;
1590249001;0-226-43957-7
1590250001;
1511421002;3-7757-0547-3
1590251001;
1590252001;
1590253001;3-85326-949-4
1400255002;
1590254001;3-430-15483-9
1590255001;
1590256001;
1590257001;
1590258001;3-88226-758-5
1590261001;87-01-81001-4
1590262001;87-01-81011-1
1590263001;
1590264001;0-500-79006-X
1590259001;
1590265001;
1590266001;
1590267001;
1590268001;3-533-02180-7
1590269001;
1590270001;
1590271001;90-5345-033-5
1590272001;90-5345-048-3
1590273001;3-922661-89-0
1590275001;
1590276001;
1590278001;
1590279001;
1590280001;
1590281001;90-228-3740-8
501919005;
1590282001;3-511-06935-1
1590283001;3-928134-79-5
1590284001;3-89590-003-6
1590286001;
114914002;3-7995-4139-X
1590287001;
1590288001;
