Signatur	ISBN	neue RVK	neue Schlagwoerter
P 1158tw - 2	90-70179-41-5		
P 1158tw - 3	90-70179-41-5		
P 1158v			
P 1158z			
P 1158zd	0-06-480457-7		
P 1159			
P 1159d	3-406-09204-7		
P 1159f	3-900575-00-2		
P 1159g	0-85263-424-2		
P 1160			
P 1161	3-7995-3310-9		
P 1162	3-7765-2095-7		
P 1163			
P 1163b			
P 1163k			
P 1164	3-7757-0502-3		
P 1165	3-922541-27-5		
P 1166			
P 1166a			
P 1167			
P 1167a			
P 1167ab			
P 1167b			
P 1167c			
P 1168 - 1			
P 1168 - 2			
P 1168h			
P 1169			
P 1170			
P 1170b			
P 1170bb			
P 1170e			
P 1170h			
P 1170hb - 1			
P 1170hb - 2			
P 1170hb - 3			
P 1170hc			
P 1170p	3-89053-032-X		
P 1171			
P 1171k	0-7099-0387-1		
P 1171s - 1			
P 1171s - 2			
P 1171t			
P 1172			
P 1172ab	3-7749-1756-6		
P 1173			
P 1173b			
P 1174	3-87088-740-0		
P 1175			
P 1175d			
P 1175s	0-86159-006-6		
P 1175sb	0-946346-01-1		
P 1175sc	0-7141-1371-9		
P 1175w	0-904857-02-6		
P 1176 - 1			
P 1176 - 2			
P 1176k			
P 1177			
P 1178			
P 1178c			
P 1178m	3-7749-1816-3		
P 1179 - 1			
P 1179 - 2			
P 1179 - 3			
P 1179d			
P 1179g			
P 1179h	3-7749-2318-3		
P 1179m			
P 1179mb			
P 1179r	0-7141-0528-7		
P 1179rb	3-7701-1374-8		
P 1179u - 1			
P 1179u - 2			
P 1179x			
P 1180			
P 1180b			
P 1180bk	91-7402-020-X		
P 1180cq			
P 1180d			
P 1180m	3-7927-0789-6		
P 1181			
P 1182			
P 1182w	3-7749-1120-7		
P 1182x			
P 1183			
P 1183d			
P 1183m	3-515-01878-6		
P 1184			
P 1184k	0-226-43957-7		
P 1185			
P 1186	3-7757-0547-3		
P 1187			
P 1187k			
P 1188	3-85326-949-4		
P 1188b			
P 1188e	3-430-15483-9		
P 1188g			
P 1188z			
P 1188zd			
P 1189	3-88226-758-5		
P 1189de - 1	87-01-81001-4		
P 1189de - 2	87-01-81011-1		
P 1189dg			
P 1189dh	0-500-79006-X		
P 1189dk			
P 1189e			
P 1189h			
P 1189k			
P 1189l	3-533-02180-7		
P 1189m			
P 1190			
P 1191	90-5345-033-5		
P 1192	90-5345-048-3		
P 1193	3-922661-89-0		
P 1194 - 1			
P 1194 - 2			
P 1195 - 1			
P 1195 - 2			
P 1195 - 3			
P 1196	90-228-3740-8		
P 1196k - 2			
P 1197	3-511-06935-1		
P 1198	3-928134-79-5		
P 1199	3-89590-003-6		
P 1200 - 1			
P 1201	3-7995-4139-X		
P 1202			
P 1203			
P 1204			
P 1205			
P 1206	90-801044-1-8		
P 1207	90-70482-68-1		
P 1208	80-210-0961-6		
P 1209	90-5345-049-1		
P 1210			
P 1211	3-924734-37-2		
P 1212			
P 1213	3-8233-4007-7		
P 1214			
P 1215			
P 1215k			
P 1216			
P 1217	3-406-38064-6		
P 1218			
P 1219	3-7011-7283-8		
P 1220	3-519-07428-1		
P 1221	2-9505595-3-0		
P 1222	3-486-64832-2		
P 1223	3-222-12272-5		
P 1224	3-7749-2674-3		
P 1225	3-7927-1097-8		
P 1226 - 2	3-05-002601-4		
P 1226 - 21	3-515-08604-8		
P 1226 - 31	978-3-515-08938-8		
P 1226 - 5	3-515-07114-8		
P 1226 - 8	3-515-07620-4		
P 1227 - 1			
P 1227 - 2			
P 1228	3-923607-6-4		
P 1229	3-87490-560-8		
P 1230			
P 1230t			
P 1230x			
P 1231			
P 1231b			
P 1231c			
P 1232			
P 1233			
P 1234	91-506-0661-1		
P 1234b			
P 1235			
P 1236			
P 1237			
P 1238	3-924734-31-3		
P 1238f	3-8204-5167-6		
P 1238h			
P 1238s	3-8053-0480-3		
P 1239	3-412-06471-8		
P 1240	3-8053-1685-2		
P 1241	3-402-06243-7		
P 1242	3-922027-88-1		
P 1243	3-910011-05-5		
P 1244	3-7995-3628-0		
P 1245			
P 1246			
P 1247 - 1			
P 1247 - 2	3-908025-46-X		
P 1248	3-7608-3649-6		
P 1249	3-7757-0557-0		
P 1250	3-926011-28-9		
P 1251			
P 1252			
P 1253	3-7923-0680-8		
P 1254	3-927789-78-X		
P 1255	388789-117-1		
P 1256			
P 1257			
P 1258			
