EXEMPLARNR;ISBN
1590174001;83-85599-20-7
1590178001;FALSE
100663002;3-7848-4042-6
1590181001;FALSE
1590183001;FALSE
1590371001;FALSE
1590372001;FALSE
1590374001;FALSE
1590187001;FALSE
1590188001;FALSE
1590191001;FALSE
1590194001;3-928957-01-5
1590195001;FALSE
1590367001;3-928957-02-3
1590379001;FALSE
1590380001;FALSE
1590382001;3-928957-03-1
1590383001;90-6255-093-2
1590934001;0-905853-06-7
1590937001;0-905853-16-4
1590938001;0-905853-33-4
1590389001;0-905853-32-6
1590393001;FALSE
1590394001;FALSE
1590397001;FALSE
1590399001;3-929645-01-7
1590412001;3-929645-01-9
1590415001;FALSE
1590418001;FALSE
1590420001;FALSE
214267002;FALSE
1590426001;3-11-004752-7
1590429001;FALSE
1590431001;3-529-01813-9
214268002;FALSE
1590435001;3-205-03658-1
1590436001;FALSE
1590438001;FALSE
1590441001;FALSE
1590443001;FALSE
1590445001;FALSE
1590447001;FALSE
1704057001;FALSE
1590478001;83-85463-20-8
1590479001;FALSE
1590483001;FALSE
1590484001;FALSE
1590486001;FALSE
1590488001;FALSE
402409001;3-9802601-7-8
1590492001;FALSE
1590495001;FALSE
1590496001;FALSE
214284002;FALSE
1590502001;91-506-0481-3
1590503001;FALSE
1590504001;FALSE
1590506001;FALSE
1590512001;3-8204-6752-1
1590521001;FALSE
406827001;83-04-01119-0
1590535001;83-231-0541-3
1590546001;FALSE
1590552001;3-89442-213-0
1590557001;FALSE
1590589001;FALSE
1590592001;FALSE
1670145001;FALSE
1670146001;FALSE
1670147001;FALSE
1670148001;FALSE
1670149001;FALSE
1670150001;FALSE
1670151001;FALSE
1670152001;FALSE
1540531001;FALSE
1540568001;FALSE
1540570001;FALSE
1553031001;FALSE
1590673001;FALSE
1590940001;FALSE
1590941001;3-8053-1601-1
1590944001;FALSE
1590945001;87-7304-159-9
1590946001;FALSE
1590948001;0-416-34190-X
1590949001;FALSE
1590950001;82-90215-12-6
1590952001;87-7288-048-1
1590953001;FALSE
1590954001;FALSE
1590955001;FALSE
1590957001;FALSE
1590958001;FALSE
214343002;FALSE
1590961001;FALSE
1590962001;FALSE
1590965001;3-7001-0258-5
1590966001;3-215-04441-2
1590968001;0-12-385450-4
1590969001;87-480-0484-7
1590971001;87-7288-044-9
1590972001;FALSE
1590975001;2-235-00729-5
1590982001;FALSE
1590984001;FALSE
1590991001;FALSE
1591001001;FALSE
1591003001;FALSE
1591007001;FALSE
1591018001;FALSE
1591020001;91-85952-00-1
1591021001;FALSE
1591025001;FALSE
1591030001;3-87760-606-7
1591032001;0-7141-1361-1
1591033001;0-7141-1372-7
1591036001;91-40-03215-9
1591189001;0-7136-2223-7
1591190001;3-8053-0868-X
1591191001;0-236-40024-X
1591193001;0-7100-0432-X
1591194001;0-7134-3476-7
1591196001;0-7134-5958-1
1591197001;FALSE
1591199001;FALSE
1591200001;FALSE
1591201001;FALSE
1591202001;87-418-1945-4
1591203001;FALSE
1591204001;FALSE
1591205001;FALSE
1591207001;FALSE
1591208001;FALSE
1591209001;FALSE
1595151001;FALSE
214454006;FALSE
214452006;FALSE
1591210001;FALSE
406605001;3-430-15151-1
1591212001;FALSE
1591213001;FALSE
1591214001;3-930811-00-6
1591217001;3-8053-1006-4
1591218001;3-8053-1139-7
1591219001;3-8053-1288-1
1591220001;FALSE
1591221001;FALSE
1591222001;FALSE
1591225001;FALSE
1591228001;83-85463-00-3
1591229001;83-85483-74-8
1591230001;FALSE
1591233001;3-7861-2185-0
1591240001;FALSE
1591266001;2-88028-030-3
1591268001;FALSE
1591270001;FALSE
50725004;FALSE
1591271001;3-445-01315-2
1591272001;FALSE
1591273001;FALSE
1591274001;FALSE
1591280001;FALSE
1591283001;FALSE
23547002;3-7928-0347-X
1591286001;3-534-04549-1
1591289001;FALSE
1591296001;FALSE
1765731001;978-80-210-8455-1
1765732001;978-80-210-8417-9
406541001;3-7743-0144-1
1591309001;FALSE
1591310001;3-88609-153-8
214585006;FALSE
1591311001;FALSE
1591312001;FALSE
1591313001;FALSE
1591314001;3-511-09098-9
1591317001;FALSE
1591335001;FALSE
1591336001;FALSE
1591337001;FALSE
1591338001;9963-560-71-7
1591339001;FALSE
17781002;FALSE
1595152001;FALSE
17784002;FALSE
17785002;FALSE
1595153001;FALSE
1591340001;91-7192-572-4
1591341001;FALSE
1591343001;FALSE
1591344001;FALSE
1591345001;FALSE
1591347001;FALSE
1591348001;FALSE
1591349001;FALSE
1591350001;FALSE
226194005;FALSE
14815006;FALSE
14814007;FALSE
208733004;FALSE
14812006;FALSE
14812007;FALSE
14811006;FALSE
220222005;FALSE
226402004;FALSE
227144006;FALSE
225439009;FALSE
1102669007;FALSE
14810003;FALSE
202879006;FALSE
230103006;FALSE
229877007;3-87023-062-2
215687007;FALSE
5995009;FALSE
13903008;FALSE
18548007;FALSE
113637011;3-87023-164-5
113638012;3-87023-165-3
19627010;FALSE
221319005;FALSE
616574006;FALSE
616575002;FALSE
20540003;3-402-05037-4
23801005;3-402-06318-2
124788004;3-402-06319-0
1510324003;978-3-402-06320-0
1508836007;978-3-402-06321-7
1507205004;3-402-06322-0
1593365009;978-3-402-14830-3
1645077011;978-3-402-14832-7
1664171011;978-3-402-14833-4
222929002;FALSE
1705162008;978-3-402-14834-1
1743175009;978-3-402-14835-8
14809005;FALSE
14808006;FALSE
14807003;FALSE
14806006;FALSE
14816005;FALSE
1591352001;FALSE
1591526001;FALSE
1591527001;FALSE
1591528001;FALSE
1591529001;FALSE
1591532001;FALSE
1591538001;FALSE
1591539001;FALSE
1591543001;3-421-01623-2
22748002;FALSE
22749002;FALSE
214713002;FALSE
1591548001;FALSE
1591551001;FALSE
1591553001;FALSE
1591554001;FALSE
1591556001;FALSE
1591557001;FALSE
1591560001;3-511-09099-7
1591563001;FALSE
1591574001;FALSE
1591576001;FALSE
1591591001;FALSE
1591592001;FALSE
1591593001;FALSE
1591595001;FALSE
1591597001;FALSE
1591598001;3-7991-5676-3
1591600001;FALSE
1526004002;3-8062-0211-7
1591602001;FALSE
1594856001;FALSE
1594857001;0-903681-07-2
1594858001;FALSE
1594859001;FALSE
406012001;90-70197-11-1
1594864001;90-70179-41-5
1594867001;90-70179-41-5
1506439003;FALSE
1594868001;FALSE
1594869001;0-06-480457-7
1594870001;FALSE
1594871001;3-406-09204-7
1594872001;3-900575-00-2
1594873001;0-85263-424-2
1594874001;FALSE
1594875001;3-7995-3310-9
1594876001;3-7765-2095-7
1594879001;FALSE
1594880001;FALSE
1594882001;FALSE
1594883001;3-7757-0502-3
1594885001;3-922541-27-5
1594887001;FALSE
402966002;FALSE
1594889001;FALSE
1594891001;FALSE
1564795002;FALSE
1594893001;FALSE
1704361001;FALSE
1594895001;FALSE
1594897001;FALSE
712130005;FALSE
1594899001;FALSE
1594900001;FALSE
1594901001;FALSE
1594903001;FALSE
506028002;FALSE
1594904001;FALSE
1594908001;FALSE
1594909001;FALSE
1594910001;FALSE
1594911001;FALSE
300821004;3-89053-032-X
215020005;FALSE
1590024001;0-7099-0387-1
1590030001;FALSE
1590031001;FALSE
1590032001;FALSE
1590034001;FALSE
1590035001;3-7749-1756-6
1590037001;FALSE
1590039001;FALSE
218487002;3-87088-740-0
1590042001;FALSE
1590044001;FALSE
1590046001;0-86159-006-6
1590047001;0-946346-01-1
1590048001;0-7141-1371-9
1590049001;0-904857-02-6
1590051001;FALSE
1590053001;FALSE
1590054001;FALSE
1590060001;FALSE
1590061001;FALSE
1590063001;FALSE
1590065001;3-7749-1816-3
1590069001;FALSE
1590070001;FALSE
1590071001;FALSE
1590073001;FALSE
1590075001;FALSE
1590077001;3-7749-2318-3
215120007;FALSE
215117002;FALSE
1590079001;0-7141-0528-7
1590080001;3-7701-1374-8
1590082001;FALSE
1590083001;FALSE
1590085001;FALSE
1590087001;FALSE
1590088001;FALSE
1590089001;91-7402-020-X
1590241001;FALSE
1590242001;FALSE
709848003;3-7927-0789-6
1575165002;FALSE
1590243001;FALSE
1590244001;3-7749-1120-7
1590245001;FALSE
1590246001;FALSE
1590247001;FALSE
1590248001;3-515-01878-6
729446002;FALSE
1590249001;0-226-43957-7
1590250001;FALSE
1511421002;3-7757-0547-3
1590251001;FALSE
1590252001;FALSE
1590253001;3-85326-949-4
1400255002;FALSE
1590254001;3-430-15483-9
1590255001;FALSE
1590256001;FALSE
1590257001;FALSE
1590258001;3-88226-758-5
1590261001;87-01-81001-4
1590262001;87-01-81011-1
1590263001;FALSE
1590264001;0-500-79006-X
1590259001;FALSE
1590265001;FALSE
1590266001;FALSE
1590267001;FALSE
1590268001;3-533-02180-7
1590269001;FALSE
1590270001;FALSE
1590271001;90-5345-033-5
1590272001;90-5345-048-3
1590273001;3-922661-89-0
1590275001;FALSE
1590276001;FALSE
1590278001;FALSE
1590279001;FALSE
1590280001;FALSE
1590281001;90-228-3740-8
501919005;FALSE
1590282001;3-511-06935-1
1590283001;3-928134-79-5
1590284001;3-89590-003-6
1590286001;FALSE
114914002;3-7995-4139-X
1590287001;FALSE
1590288001;FALSE
1590289001;FALSE
215341002;FALSE
1201276002;90-801044-1-8
1590291001;90-70482-68-1
1590299001;80-210-0961-6
1590300001;90-5345-049-1
1590301001;FALSE
1590302001;3-924734-37-2
1590304001;FALSE
1590307001;3-8233-4007-7
;FALSE
1590314001;FALSE
1590317001;FALSE
1590319001;FALSE
1590321001;3-406-38064-6
1590323001;FALSE
1590324001;3-7011-7283-8
1590325001;3-519-07428-1
1590326001;2-9505595-3-0
1590328001;3-486-64832-2
802478002;3-222-12272-5
1590330001;3-7749-2674-3
509919002;3-7927-1097-8
1590332001;3-05-002601-4
1609133001;3-515-08604-8
1609134001;978-3-515-08938-8
1610898001;3-515-07114-8
1610897001;3-515-07620-4
1590339001;FALSE
1590341001;FALSE
1590373001;3-923607-6-4
1590376001;3-87490-560-8
1590377001;FALSE
1590384001;FALSE
1590385001;FALSE
1590386001;FALSE
1590387001;FALSE
1590388001;FALSE
1590390001;FALSE
1590391001;FALSE
1590392001;91-506-0661-1
1590395001;FALSE
1590398001;FALSE
14787004;FALSE
19584005;FALSE
1590401001;3-924734-31-3
1590402001;3-8204-5167-6
1590403001;FALSE
1590404001;3-8053-0480-3
13653002;3-412-06471-8
1590406001;3-8053-1685-2
300709002;3-402-06243-7
1550268002;3-922027-88-1
401509001;3-910011-05-5
1590407001;3-7995-3628-0
215431003;FALSE
1590408001;FALSE
1590410001;FALSE
1590411001;3-908025-46-X
1590413001;3-7608-3649-6
1590414001;3-7757-0557-0
1200217002;3-926011-28-9
506545002;FALSE
801704002;FALSE
509097004;3-7923-0680-8
1866010;3-927789-78-X
301492002;388789-117-1
1590417001;FALSE
1605455001;FALSE
1590419001;FALSE
1590423001;FALSE
1590425001;3-406-04801-3
215648002;FALSE
215649002;FALSE
215650002;3-525-35377-4
1501409001;3-525-35436-3
1501410003;3-525-35311-1
1560685001;3-525-35309-X
1560686001;978-3-525-36521-2
1590437001;3-534-04685-4
1590440001;3-534-04166-6
1590444001;FALSE
1590446001;3-8062-0293-1
1590449001;3-900401-39-2
1590450001;FALSE
1590573001;FALSE
1590577001;FALSE
127020002;FALSE
1590590001;FALSE
1590591001;FALSE
1590593001;FALSE
1590594001;FALSE
1590595001;FALSE
215507003;FALSE
1590596001;FALSE
1590597001;FALSE
1590599001;FALSE
1590601001;FALSE
1590603001;FALSE
1590605001;3-922616-00-3
215517002;FALSE
1590606001;FALSE
1590607001;FALSE
1590610001;FALSE
1590612001;FALSE
1590614001;FALSE
1590616001;FALSE
8445005;FALSE
1590617001;FALSE
1590618001;3-406-03172-2
1590621001;FALSE
1590622001;FALSE
1590624001;FALSE
1590626001;FALSE
1590629001;FALSE
1590631001;FALSE
1590633001;FALSE
1590634001;FALSE
1590635001;FALSE
1590636001;3-406-09041-9
1605446001;FALSE
1605450001;FALSE
1605451001;FALSE
1590637001;82-90215-80-0
1590638001;3-534-03870-3
1590639001;FALSE
1590641001;FALSE
1590642001;FALSE
1590643001;FALSE
1590645001;963-7421-37-8
215771002;FALSE
215770002;FALSE
1590649001;FALSE
1590652001;FALSE
1590654001;FALSE
1590660001;3-406-06775-1
1590665001;FALSE
1590667001;FALSE
1590669001;FALSE
1590670001;FALSE
1590671001;FALSE
1590674001;FALSE
1590676001;FALSE
1590677001;FALSE
1590686001;FALSE
1590687001;FALSE
1590688001;FALSE
1590689001;3-929055-36-8
1590690001;FALSE
1590691001;FALSE
1590693001;FALSE
1590694001;FALSE
1590695001;FALSE
1590696001;FALSE
1590697001;FALSE
1590698001;FALSE
1590699001;FALSE
1590700001;FALSE
1590701001;FALSE
1590702001;FALSE
